number,name
1,Gamage
2,Blome
3,1899
3A,Prochnow Auditorium
4,Morton Hall
8,Bury
9,Taylor Hall
10,Old Main
11,Ashurst
12,Geology
13,Geo Annex
13A,Rosebury
14,NACC
15,Riles
16,Communication
16A,DLC
17,Science Lab
18,Liberal Arts
19,PhyScience
21B,Biology Annex
25,Health and Learning Center
26,Adel
27,Eastburn
27A,IHD
28,Cline
29,Calderone
30,Fieldhouse
30A,Stdnt Servs Vav Ovrw
30B,Student Services
30C,Dining Hall Exapnsion
30D,University Dining
31,Gillenwater Hall
33,Hotel Restaurant Management
35,Bookstore
36,Science & Health
37,Performing Arts
37A,Ardery Audit
38,Cowden
39,Raymond Hall
40,McDonald Hall
42,Sechrist Hall
43,Gateway
44,Tinsley
45,Wilson
46,Allen Hall
48,Reilly Hall
50,Campus Heights
50A,ISP
50B,McKay Village
53,Gabaldon Hall
54,Information Technology Services
54A,TelComm
55,Mountain View Hall
58,Conference Center
59,Hilltop
60,Student Academic Services
62,McConnell Hall
64,Dubois (South Dining)
65,SBS East
69,College of EGR.
70,Social and Behavioral Sciences West
71,South Village Apts.
73,Skydome
75,McConnell Suites
81,College of Business
82,Forestry
83,Bus Barn
86,Aquatic Center
87,Skyview
88,Wettaw
90,Univ. Services
91,Centenial (Park & Shuttle)
93,Beaver Street School
95,Pine Ridge Village
96B,San Fran Parking Garage
98C,Swing Space
98D,Campus Distriution Cntr
98F,Res Life Warehouse
